2011-04-05,14.05,14.05,14.05,14.05,000,13.908482
2011-04-04,14.05,14.05,14.05,14.05,000,13.908482
2011-04-01,14.05,14.05,14.05,14.05,000,13.908482
2011-03-31,14.05,14.05,14.05,14.05,000,13.908482
2011-03-30,14.05,14.05,14.05,14.05,000,13.908482
2011-03-29,14.05,14.05,14.05,14.05,000,13.908482
2011-03-28,14.05,14.05,14.05,14.05,000,13.908482
2011-03-25,14.05,14.05,14.05,14.05,000,13.908482
2011-03-24,14.05,14.05,14.05,14.05,000,13.908482
2011-03-23,14.05,14.05,14.05,14.05,000,13.908482
2011-03-22,14.05,14.05,14.05,14.05,000,13.908482
2011-03-21,14.05,14.05,14.05,14.05,000,13.908482
2011-03-18,14.05,14.05,14.05,14.05,000,13.908482
2011-03-17,14.05,14.05,14.05,14.05,000,13.908482
2011-03-16,14.05,14.05,14.05,14.05,000,13.908482
2011-03-15,14.05,14.05,14.05,14.05,000,13.908482
2011-03-14,14.05,14.05,14.05,14.05,000,13.908482
2011-03-11,14.05,14.05,14.05,14.05,000,13.908482
2011-03-10,14.05,14.05,14.05,14.05,000,13.908482
2011-03-09,14.05,14.05,14.05,14.05,000,13.908482
2011-03-08,14.05,14.05,14.05,14.05,000,13.908482
2011-03-07,14.05,14.05,14.05,14.05,300,13.908482
2011-03-04,15.00,15.00,15.00,15.00,000,14.848913
2011-03-03,15.00,15.00,15.00,15.00,000,14.848913
2011-03-02,15.00,15.00,15.00,15.00,000,14.848913
2011-03-01,15.00,15.00,15.00,15.00,000,14.848913
2011-02-28,15.00,15.00,15.00,15.00,000,14.848913
2011-02-25,15.00,15.00,15.00,15.00,000,14.848913
2011-02-24,15.00,15.00,15.00,15.00,000,14.848913
2011-02-23,15.00,15.00,15.00,15.00,000,14.848913
2011-02-22,15.00,15.00,15.00,15.00,000,14.848913
2011-02-18,15.00,16.00,15.00,15.00,800,14.848913
2011-02-17,15.00,15.00,15.00,15.00,000,14.848913
2011-02-16,15.00,15.00,15.00,15.00,000,14.848913
2011-02-15,15.00,15.00,15.00,15.00,000,14.848913
2011-02-14,15.00,15.00,15.00,15.00,000,14.848913
2011-02-11,15.00,15.00,15.00,15.00,000,14.848913
2011-02-10,15.00,15.00,15.00,15.00,000,14.848913
2011-02-09,15.00,15.00,15.00,15.00,000,14.848913
2011-02-08,15.00,15.00,15.00,15.00,000,14.848913
2011-02-07,15.00,15.00,15.00,15.00,000,14.848913
2011-02-04,15.00,15.00,15.00,15.00,000,14.848913
2011-02-03,15.00,15.00,15.00,15.00,000,14.848913
2011-02-02,15.00,15.00,15.00,15.00,200,14.848913
2011-02-01,15.00,15.00,15.00,15.00,000,14.848913
2011-01-31,15.00,15.00,15.00,15.00,000,14.848913
2011-01-28,15.00,15.00,15.00,15.00,000,14.848913
2011-01-27,15.00,15.00,15.00,15.00,000,14.848913
2011-01-26,15.00,15.00,15.00,15.00,000,14.848913
2011-01-25,15.00,15.00,15.00,15.00,000,14.848913
2011-01-24,15.00,15.00,15.00,15.00,000,14.848913
2011-01-21,15.00,15.00,15.00,15.00,000,14.848913
2011-01-20,15.00,15.00,15.00,15.00,000,14.848913
2011-01-19,15.00,15.00,15.00,15.00,000,14.848913
2011-01-18,15.00,15.00,15.00,15.00,000,14.848913
2011-01-14,15.00,15.00,15.00,15.00,000,14.848913
2011-01-13,15.00,15.00,15.00,15.00,000,14.848913
2011-01-12,15.00,15.00,15.00,15.00,000,14.848913
2011-01-11,15.00,15.00,15.00,15.00,000,14.848913
2011-01-10,15.00,15.00,15.00,15.00,000,14.848913
2011-01-07,15.00,15.00,15.00,15.00,000,14.848913
2011-01-06,15.00,15.00,15.00,15.00,000,14.848913
2011-01-05,15.00,15.00,15.00,15.00,000,14.848913
2011-01-04,15.00,15.00,15.00,15.00,000,14.848913
2011-01-03,15.00,15.00,15.00,15.00,000,14.848913
2010-12-31,15.00,15.00,15.00,15.00,000,14.848913
2010-12-30,15.00,15.00,15.00,15.00,000,14.848913
2010-12-29,15.00,15.00,15.00,15.00,000,14.848913
2010-12-28,15.00,15.00,15.00,15.00,000,14.848913
2010-12-27,15.00,15.00,15.00,15.00,000,14.848913
2010-12-23,15.00,15.00,15.00,15.00,000,14.848913
2010-12-22,15.00,15.00,15.00,15.00,000,14.848913
2010-12-21,15.00,15.00,15.00,15.00,000,14.848913
2010-12-20,15.00,15.00,15.00,15.00,000,14.848913
2010-12-17,15.00,15.00,15.00,15.00,000,14.848913
2010-12-16,15.00,15.00,15.00,15.00,000,14.848913
2010-12-15,15.00,15.00,15.00,15.00,000,14.848913
2010-12-14,15.00,15.00,15.00,15.00,000,14.848913
2010-12-13,15.00,15.00,15.00,15.00,000,14.848913
2010-12-10,15.00,15.00,15.00,15.00,000,14.848913
2010-12-09,15.00,15.00,15.00,15.00,000,14.848913
2010-12-08,15.00,15.00,15.00,15.00,000,14.848913
2010-12-07,15.00,15.00,15.00,15.00,000,14.848913
2010-12-06,15.00,15.00,15.00,15.00,000,14.848913
2010-12-03,15.00,15.00,15.00,15.00,000,14.848913
2010-12-02,15.00,15.00,15.00,15.00,000,14.848913
2010-12-01,15.00,15.00,15.00,15.00,000,14.848913
2010-11-30,15.00,15.00,15.00,15.00,000,14.848913
2010-11-29,15.00,15.00,15.00,15.00,000,14.848913
2010-11-26,15.00,15.00,15.00,15.00,000,14.848913
2010-11-24,15.00,15.00,15.00,15.00,000,14.848913
2010-11-23,15.00,15.00,15.00,15.00,000,14.848913
2010-11-22,15.00,15.00,15.00,15.00,000,14.848913
2010-11-19,15.00,15.00,15.00,15.00,000,14.848913
2010-11-18,15.00,15.00,15.00,15.00,000,14.848913
2010-11-17,15.00,15.00,15.00,15.00,000,14.848913
2010-11-16,15.00,15.00,15.00,15.00,000,14.848913
2010-11-15,15.00,15.00,15.00,15.00,000,14.848913
2010-11-12,15.00,15.00,15.00,15.00,000,14.848913
2010-11-11,15.00,15.00,15.00,15.00,000,14.848913
2010-11-10,15.00,15.00,15.00,15.00,000,14.848913
2010-11-09,15.00,15.00,15.00,15.00,000,14.848913
2010-11-08,15.00,15.00,15.00,15.00,000,14.848913
2010-11-05,15.00,15.00,15.00,15.00,000,14.848913
2010-11-04,15.00,15.00,15.00,15.00,000,14.848913
2010-11-03,15.00,15.00,15.00,15.00,000,14.848913
2010-11-02,15.00,15.00,15.00,15.00,000,14.848913
2010-11-01,15.00,15.00,15.00,15.00,000,14.848913
2010-10-29,15.00,15.00,15.00,15.00,000,14.848913
2010-10-28,15.00,15.00,15.00,15.00,000,14.848913
2010-10-27,15.00,15.00,15.00,15.00,000,14.848913
2010-10-26,15.00,15.00,15.00,15.00,000,14.848913
2010-10-25,15.00,15.00,15.00,15.00,000,14.848913
2010-10-22,15.00,15.00,15.00,15.00,000,14.848913
2010-10-21,15.00,15.00,15.00,15.00,000,14.848913
2010-10-20,15.00,15.00,15.00,15.00,000,14.848913
2010-10-19,15.00,15.00,15.00,15.00,000,14.848913
2010-10-18,15.00,15.00,15.00,15.00,000,14.848913
2010-10-15,15.00,15.00,15.00,15.00,000,14.848913
2010-10-14,15.00,15.00,15.00,15.00,000,14.848913
2010-10-13,15.00,15.00,15.00,15.00,000,14.848913
2010-10-12,15.00,15.00,15.00,15.00,000,14.848913
2010-10-11,15.00,15.00,15.00,15.00,000,14.848913
2010-10-08,15.00,15.00,15.00,15.00,000,14.848913
2010-10-07,15.00,15.00,15.00,15.00,000,14.848913
2010-10-06,15.00,15.00,15.00,15.00,000,14.848913
2010-10-05,15.00,15.00,15.00,15.00,000,14.848913
2010-10-04,15.00,15.00,15.00,15.00,000,14.848913
2010-10-01,15.00,15.00,15.00,15.00,000,14.848913
2010-09-30,15.00,15.00,15.00,15.00,000,14.848913
2010-09-29,15.00,15.00,15.00,15.00,000,14.848913
2010-09-28,15.00,15.00,15.00,15.00,000,14.848913
2010-09-27,15.00,15.00,15.00,15.00,000,14.848913
2010-09-24,15.00,15.00,15.00,15.00,000,14.848913
2010-09-23,15.00,15.00,15.00,15.00,000,14.848913
2010-09-22,15.00,15.00,15.00,15.00,000,14.848913
2010-09-21,15.00,15.00,15.00,15.00,000,14.848913
2010-09-20,15.00,15.00,15.00,15.00,000,14.848913
2010-09-17,15.00,15.00,15.00,15.00,000,14.848913
2010-09-16,15.00,15.00,15.00,15.00,000,14.848913
2010-09-15,15.00,15.00,15.00,15.00,000,14.848913
2010-09-14,15.00,15.00,15.00,15.00,000,14.848913
2010-09-13,15.00,15.00,15.00,15.00,000,14.848913
2010-09-10,15.00,15.00,15.00,15.00,000,14.848913
2010-09-09,15.00,15.00,15.00,15.00,000,14.848913
2010-09-08,15.00,15.00,15.00,15.00,000,14.848913
2010-09-07,15.00,15.00,15.00,15.00,000,14.848913
2010-09-03,15.00,15.00,15.00,15.00,000,14.848913
2010-09-02,15.00,15.00,15.00,15.00,000,14.848913
2010-09-01,15.00,15.00,15.00,15.00,000,14.848913
2010-08-31,15.00,15.00,15.00,15.00,000,14.848913
2010-08-30,15.00,15.00,15.00,15.00,000,14.848913
2010-08-27,15.00,15.00,15.00,15.00,000,14.848913
2010-08-26,15.00,15.00,15.00,15.00,000,14.848913
2010-08-25,15.00,15.00,15.00,15.00,000,14.848913
2010-08-24,15.00,15.00,15.00,15.00,000,14.848913
2010-08-23,15.00,15.00,15.00,15.00,000,14.848913
2010-08-20,15.00,15.00,15.00,15.00,000,14.848913
2010-08-19,15.00,15.00,15.00,15.00,000,14.848913
2010-08-18,15.00,15.00,15.00,15.00,000,14.848913
2010-08-17,15.00,15.00,15.00,15.00,000,14.848913
2010-08-16,15.00,15.00,15.00,15.00,000,14.848913
2010-08-13,15.00,15.00,15.00,15.00,000,14.848913
2010-08-12,15.00,15.00,15.00,15.00,000,14.848913
2010-08-11,15.00,15.00,15.00,15.00,000,14.848913
2010-08-10,15.00,15.00,15.00,15.00,000,14.848913
2010-08-09,15.00,15.00,15.00,15.00,000,14.848913
2010-08-06,15.00,15.00,15.00,15.00,000,14.848913
2010-08-05,15.00,15.00,15.00,15.00,000,14.848913
2010-08-04,15.00,15.00,15.00,15.00,000,14.848913
2010-08-03,15.00,15.00,15.00,15.00,000,14.848913
2010-08-02,15.00,15.00,15.00,15.00,000,14.848913
2010-07-30,15.00,15.00,15.00,15.00,000,14.848913
2010-07-29,15.00,15.00,15.00,15.00,000,14.848913
2010-07-28,15.00,15.00,15.00,15.00,000,14.848913
2010-07-27,15.00,15.00,15.00,15.00,000,14.848913
2010-07-26,15.00,15.00,15.00,15.00,1000,14.848913
2010-07-23,14.95,14.95,14.95,14.95,000,14.799416
2010-07-22,14.95,14.95,14.95,14.95,000,14.799416
2010-07-21,14.95,14.95,14.95,14.95,000,14.799416
2010-07-20,14.95,14.95,14.95,14.95,000,14.799416
2010-07-19,14.95,14.95,14.95,14.95,000,14.799416
2010-07-16,14.95,14.95,14.95,14.95,000,14.799416
2010-07-15,14.95,14.95,14.95,14.95,000,14.799416
2010-07-14,14.95,14.95,14.95,14.95,000,14.799416
2010-07-13,14.95,14.95,14.95,14.95,000,14.799416
2010-07-12,14.95,14.95,14.95,14.95,000,14.799416
2010-07-09,14.95,14.95,14.95,14.95,000,14.799416
2010-07-08,14.95,14.95,14.95,14.95,000,14.799416
2010-07-07,14.95,14.95,14.95,14.95,000,14.799416
2010-07-06,14.95,14.95,14.95,14.95,000,14.799416
2010-07-02,14.95,14.95,14.95,14.95,000,14.799416
2010-07-01,14.95,14.95,14.95,14.95,000,14.799416
2010-06-30,14.95,14.95,14.95,14.95,000,14.799416
2010-06-29,14.95,14.95,14.95,14.95,000,14.799416
2010-06-28,14.95,14.95,14.95,14.95,000,14.799416
2010-06-25,14.95,14.95,14.95,14.95,000,14.799416
2010-06-24,14.95,14.95,14.95,14.95,000,14.799416
2010-06-23,14.95,14.95,14.95,14.95,000,14.799416
2010-06-22,14.95,14.95,14.95,14.95,000,14.799416
2010-06-21,14.95,14.95,14.95,14.95,000,14.799416
2010-06-18,14.95,14.95,14.95,14.95,000,14.799416
2010-06-17,14.95,14.95,14.95,14.95,000,14.799416
2010-06-16,14.95,14.95,14.95,14.95,400,14.799416
2010-06-15,15.00,15.00,15.00,15.00,300,14.848913
2010-06-14,15.00,15.00,15.00,15.00,600,14.848913
2010-06-11,15.00,15.00,15.00,15.00,000,14.848913
2010-06-10,15.00,15.00,15.00,15.00,000,14.848913
2010-06-09,15.00,15.00,15.00,15.00,000,14.848913
2010-06-08,15.00,15.00,15.00,15.00,000,14.848913
2010-06-07,15.00,15.00,15.00,15.00,000,14.848913
2010-06-04,15.00,15.00,15.00,15.00,000,14.848913
2010-06-03,15.00,15.00,15.00,15.00,000,14.848913
2010-06-02,15.00,15.00,15.00,15.00,000,14.848913
2010-06-01,15.00,15.00,15.00,15.00,000,14.848913
2010-05-28,16.00,16.00,14.99,15.00,800,14.848913
2010-05-27,22.00,22.00,22.00,22.00,400,21.778406
2010-05-26,22.00,22.00,22.00,22.00,200,21.778406
2010-05-25,22.00,22.00,22.00,22.00,200,21.778406
2010-05-24,22.00,22.00,22.00,22.00,000,21.778406
2010-05-21,22.00,22.00,22.00,22.00,200,21.778406
2010-05-20,22.00,22.00,22.00,22.00,000,21.778406
2010-05-19,22.00,22.00,22.00,22.00,200,21.778406
2010-05-18,22.00,22.00,21.99,21.99,400,21.768506
2010-05-17,19.00,19.00,19.00,19.00,000,18.808623
2010-05-14,19.00,19.00,19.00,19.00,000,18.808623
2010-05-13,19.00,19.00,19.00,19.00,000,18.808623
2010-05-12,19.00,19.00,19.00,19.00,000,18.808623
2010-05-11,19.00,19.00,19.00,19.00,000,18.808623
2010-05-10,19.00,19.00,19.00,19.00,000,18.808623
2010-05-07,19.00,19.00,19.00,19.00,000,18.808623
2010-05-06,19.00,19.00,19.00,19.00,000,18.808623
2010-05-05,19.00,19.00,19.00,19.00,000,18.808623
2010-05-04,19.00,19.00,19.00,19.00,000,18.808623
2010-05-03,19.00,19.00,19.00,19.00,000,18.808623
2010-04-30,19.00,19.00,19.00,19.00,000,18.808623
2010-04-29,19.00,19.00,19.00,19.00,000,18.808623
2010-04-28,19.00,19.00,19.00,19.00,200,18.808623
2010-04-27,17.00,17.00,17.00,17.00,000,16.828768
2010-04-26,17.00,17.00,17.00,17.00,000,16.828768
2010-04-23,17.00,17.00,17.00,17.00,000,16.828768
2010-04-22,17.00,17.00,17.00,17.00,000,16.828768
2010-04-21,17.00,17.00,17.00,17.00,000,16.828768
2010-04-20,17.00,17.00,17.00,17.00,000,16.828768
2010-04-19,17.00,17.00,17.00,17.00,000,16.828768
2010-04-16,17.00,17.00,17.00,17.00,000,16.828768
2010-04-15,17.00,17.00,17.00,17.00,000,16.828768
2010-04-14,17.00,17.00,17.00,17.00,000,16.828768
2010-04-13,17.00,17.00,17.00,17.00,000,16.828768
2010-04-12,17.00,17.00,17.00,17.00,000,16.828768
2010-04-09,17.00,17.00,17.00,17.00,000,16.828768
2010-04-08,17.00,17.00,17.00,17.00,000,16.828768
2010-04-07,17.00,17.00,17.00,17.00,000,16.828768
2010-04-06,17.00,17.00,17.00,17.00,000,16.828768
2010-04-05,17.00,17.00,17.00,17.00,000,16.828768
